Name,Specialty,Location,Education,Residency,Board Certification
Sara Jandeska,Pediatric Nephrology,"John H. Stroger, Jr. Hospital",Rush Medical College,University of Chicago,"Pediatrics, Pediatric Nephrology"
Calvin Javier,Diagnostic Radiology,Provident Hospital,University of Illinois College at Chicago,nil,nil
Tanyu J. Jelev,Anesthesiology,"John H. Stroger, Jr. Hospital","Medical Institute Stara Zagora, Bulgaria",Anesthesiology - John H. Stroger Jr. Hospital of Cook County,American Board of Anesthesiology
Kimberly L. Johnson,Anesthesiology,"John H. Stroger, Jr. Hospital, Provident Hospital",University of Illinois College of Medicine,University of Illinois Medical Center,American Board of Anesthesiology
Amit J. Joshi,Nephrology,"John H. Stroger, Jr. Hospital, Oak Forest Health Center","Pramukhswami Medical College, India","John H. Stroger, Jr. Hospital of Cook County",Internal Medicine and Nephrology
Amir F. Kagalwalla,Pediatric Gastroenterology,"John H. Stroger, Jr. Hospital",Grant Medical College,nil,"Pediatrics, Pediatric Gastroenterology"
Tatyana Kagan,Pediatric Emergency Medicine,"John H. Stroger, Jr. Hospital",nil,Cook County Hospital,Pediatrics
Daniel J. Kay,Diagnostic Radiology,"John H. Stroger, Jr. Hospital",Loyola University of Chicago,John H. Stroger Jr. Hospital of Cook County,nil
Richard R. Keen,Vascular Surgery,"John H. Stroger, Jr. Hospital, Provident Hospital",University of Illinois at Chicago,nil,nil
John D. Keen,Diagnostic Radiology,"John H. Stroger, Jr. Hospital, Provident Hospital",University of Illinois College of Medicine,Northwestern University,Radiology
Anita Kelekar,Diagnostic Radiology,"John H. Stroger, Jr. Hospital, Provident Hospital","Grant Med College, Univesity of Mumbai","John H. Stroger, Jr. Hospital of Cook County",nil
Sabrina R. Kendrick,Infectious Diseases,"John H. Stroger, Jr. Hospital, Provident Hospital",Chicago Medical School,Emory University,American Board of Internal Medicine; Subspecialty Board of Infectious Diseases
Sonali Khandelwal,Rheumatology,"John H. Stroger, Jr. Hospital",Michigan State University,Internal Medicine and Rheumatology at Rush University Medical Center,Rheumatology/Medicine
Samina N. Khattak,Psychiatry,"John H. Stroger, Jr. Hospital",Khyber Medical College,nil,nil
Manhal Khilfeh,"Neonatology, Pediatrics","John H. Stroger, Jr. Hospital",Salahaddin University,Michigan State University Kalamazoo Center for Medical Studies,"Pediatrics, Neonatal-Prenatal Medicine"
Marlon S. Kirby,Anesthesiology,"John H. Stroger, Jr. Hospital, Provident Hospital",Loyola Stritch School of Medicine,Anesthesiology - Michael Reese Hospital and Medical Center,American Board of Anesthesiology
Igor V Kolesnikov,Anesthesiology,"John H. Stroger, Jr. Hospital",Rush Medical Center,Rush University Medical Center,American Board of Anesthesiology
Anne J. Krantz,Internal Medicine,"John H. Stroger, Jr. Hospital, Provident Hospital",University of Illinois at Chicago School of Medicine,Cook County Hospital,Internal Medicine
Padma Kudaravalli,Internal Medicine,"John H. Stroger, Jr. Hospital, Provident Hospital",nil,nil,nil
Rudolf K.D. Kumapley,Hospitalist,"John H. Stroger, Jr. Hospital",University of Ghana,Cook County Health & Hospitals,Internal Medicine
Admasu Kumssa,Internal Medicine,"John H. Stroger, Jr. Hospital, Provident Hospital",Adis Ababa University,nil,Internal Medicine
Rashid Fuad Kysia,Emergency Medicine,"John H. Stroger, Jr. Hospital",Wayne State University School of Medicine,Brigham and Women's Hospital/Massachusetts General Hospital,"Emergency Medicine, 2006"
Thomas E. Lad,Medical Oncology,"John H. Stroger, Jr. Hospital",Ohio State University,University of Illinois,"Medical Oncology, Internal Medicine"
Moses S Lee,Emergency Medicine,"John H. Stroger, Jr. Hospital",Northwestern University Medical School,Cook County Hospital,"Emergency Medicine, 2007"
Richard Lenhardt,Pulmonary Diseases,"John H. Stroger, Jr. Hospital, Provident Hospital",University of Chicago,University of Pittsburgh,"Internal Medicine, Pulmonary Medicine, Critical Care, Emergency Medicine"
Gregory Lewis,Psychology,"John H. Stroger, Jr. Hospital",Illinois School of Professsional Psychology,nil,nil
Trevor Lewis,Emergency Medicine,"John H. Stroger, Jr. Hospital",Chicago Medical School at Rosalind Franklin University,Cook County Hospital,Emergency Medicine
Sherry G. Licht,Internal Medicine,"John H. Stroger, Jr. Hospital",George Washington University School of Medicine,nil,nil
Jenny Ju-Hsueh Lu,Emergency Medicine,"John H. Stroger, Jr. Hospital",Ponce School of Medicine,Cook County Hospital,"Emergency Medicine, 2010"
Ronald J. Lubelchek,Infectious Diseases,"John H. Stroger, Jr. Hospital, Provident Hospital",University of Illinois,"Washinton University, St. Louis","Internal Medicine, Infectious Diseases"
Nicholas A. Lygizos,Otolaryngology,"John H. Stroger, Jr. Hospital",University of Michigan,University of Illinois,nil
Orlanda B. Mackie,Hospice & Palliative Medicine,"John H. Stroger, Jr. Hospital",Ross University School of Medicine,nil,"Family Medicine, and Hospice and Palliative Medicine"
Ena Mahapatra,Internal Medicine,"John H. Stroger, Jr. Hospital","Veer Surendra Sai Medical College, India. Granted 1st M.B.B.S., Sriram Chandra Bhanj Medical College, India. Granted 2nd and Final M.B.B.S. (Bachelor of Medicine and Bachelor of Surgery)","Cook County Hospital, Chicago",American Board of Internal Medicine
Augustine M. Manadan,Rheumatology,"John H. Stroger, Jr. Hospital",Northeast Ohio Medical University,Internal Medicine and Rheumatology at Rush University Medical Center,Rheumatology/Medicine
Frances I. Manosca,Anatomic and Clinical Pathology,"John H. Stroger, Jr. Hospital",Saint Louis University School of Medicine,nil,nil
Elizabeth A. Marcus,Surgery,"John H. Stroger, Jr. Hospital, Provident Hospital",University of Pittsburgh,Boston University Medical Center,General Surgery
Natasa L. Margeta,Internal Medicine,"John H. Stroger, Jr. Hospital",University of Zagreb,nil,Internal Medicine; Infectious Disease
Bosko Margeta,Cardiovascular Disease,"John H. Stroger, Jr. Hospital","School of Medicine – University of Zagreb, Croatia",Cook County Chief Resident,"Cardiology, Echocardiography, Nuclear Cardiology"
Irene L. Martinez,Internal Medicine,"John H. Stroger, Jr. Hospital",nil,nil,nil
Susana Mascarell,Endocrinology & Metabolism,"John H. Stroger, Jr. Hospital","University of Valencia Medical School, Spain",Chicago Medical School,"American Board of Internal Medicine and Endocrinology, Diabetes & Metabolism"
Ellen D. Mason,Internal Medicine,"John H. Stroger, Jr. Hospital, Provident Hospital",University of Illinois,nil,Yes
Suja M. Mathew,Internal Medicine,"John H. Stroger, Jr. Hospital, Provident Hospital",Pritzker School of Medicine at The University of Chicago,The University of Chicago Hospitals,nil
Benjamin I. Mba,Internal Medicine,"John H. Stroger, Jr. Hospital","College of Medicine, University of Lagos, Nigeria","Staffordshire General Hospital, United Kingdom, and Cook County Hospital",Internal Medicine
Sarah F. McDonald,Otolaryngology,"John H. Stroger, Jr. Hospital",Baylor College of Medicine,Northwestern Memorial,nil
Julita M. McPherson,Family Medicine,"John H. Stroger, Jr. Hospital, Provident Hospital","Loyola University Chicago, Stritch School of Medicine",Loyola-Provident Family Medicine Residency Program,American Board of Family Medicine
Thomas A. Messer,Surgery,"John H. Stroger, Jr. Hospital",Rush University,Rush University,General Surgery/Surgical Critical Care
Alan G. Micco,Otolaryngology,"John H. Stroger, Jr. Hospital",Northwestern University,Northwestern University,nil
Lorena A. Monterubianesi,Internal Medicine,"John H. Stroger, Jr. Hospital",nil,Michael Reese Hospital,nil
Jordan B. Moskoff,Emergency Medicine,"John H. Stroger, Jr. Hospital",Northwestern University Medical School,Jacobi Medical Center,"Emergency Medicine, 2005"
James N. Moy,Allergy and Immunology,"John H. Stroger, Jr. Hospital, Provident Hospital",University of Illinois,University of Minnesota,Allergy/Immunology
Michael R. Mullane,Oncology,"John H. Stroger, Jr. Hospital",Wayne State University School of Nursing,University of Illinois,"Medical Oncology, Internal Medicine"
Shirin Muzaffar,Critical Care Medicine,"John H. Stroger, Jr. Hospital, Provident Hospital","Dow Medical College, Karachi, Pakistan",Cook County Health & Hospitals System,"Internal Medicine, Pulmonary, Critical Care"
Mark B Mycyk,Emergency Medicine,"John H. Stroger, Jr. Hospital",University of Illinois College of Medicine,Boston City Hospital/Boston Medical Center,"Emergency Medicine, 2001, Medical Toxicology, 2002"
Ahmed Nadeem,Emergency Medicine,Provident Hospital,"Midwestern University, College of Health Sciences",nil,nil
Swamy N. Nagubadi,Critical Care Medicine,"John H. Stroger, Jr. Hospital, Provident Hospital",Jefferson Medical College,Baylor College of Medicine,"Pulmonary, Critical Care, Sleep Medicine"
Zahra J. Naheed,Pediatric Cardiology,"John H. Stroger, Jr. Hospital, Provident Hospital","Osmania Medical College, India",Cook County Hospital,"Pediatrics, Pediatric Cardiology"
Isam F. Nasr,Emergency Medicine,"John H. Stroger, Jr. Hospital",New York Medical College,Cook County Hospital,"Emergency Medicine, 2006"
Ned F. Nasr,Anesthesiology,"John H. Stroger, Jr. Hospital","New York Medical College, New York",Anesthesiology,American Board of Anesthesiology
Michael E. Nelson,Emergency Medicine,"John H. Stroger, Jr. Hospital",Chicago Medical School at Rosalind Franklin University,Stroger Hospital,"Addiction Medicine, Emergency Medicine, Medical Toxicology"
Tuan M. Nguyen,Maternal Fetal Medicine,"John H. Stroger, Jr. Hospital",Chicago Medical School,Mt. Sinai Hosptial and Medical Center,"Internal Medicine, Obstetrics/Gynecology, Maternal-Fetal Medicine"
Waldemar T. Niklinski,Anatomic and Clinical Pathology,"John H. Stroger, Jr. Hospital",Medical School Bialystok,nil,nil
Frances E. Norlock,Internal Medicine,"John H. Stroger, Jr. Hospital",Chicago College of Osteopathic Medicine,nil,nil
Albert M Osei,Nephrology,"John H. Stroger, Jr. Hospital",University of Ghana Medical School,"Cook County Hospital, Chicago, IL","Nephrology, Internal Medicine"
Hyang Won Paek,Anesthesiology,"John H. Stroger, Jr. Hospital","Ewha Women’s University, South Korea","John H. Stroger, Jr. Hospital","American Board of Anesthesiology, National Board of Echocardiography"
Isaac Paintsil,Hospitalist,"John H. Stroger, Jr. Hospital, Provident Hospital",University of Ghana,nil,Internal; Occupational Medicine
Lisa R. Palivos,Emergency Medicine,"John H. Stroger, Jr. Hospital",Rosalind Franklin University of Medicine,Cook County Hospital,"Emergency Medicine, 2010"
Mona E Papari,Anatomic and Clinical Pathology,"John H. Stroger, Jr. Hospital, Provident Hospital","Carol Davila University of Medicine and Pharmacy, Bucharest Romania",Metropolitan Group of Hospitals-Chicago,"Clinical Pathology, Blood Banking/Transfusion Medicine"
Shekofeh Parsaei,Anesthesiology,"John H. Stroger, Jr. Hospital","Compultense, Spain",Northwestern University Hospital,American Board of Anesthesiology
Urjeet A. Patel,Otolaryngology,"John H. Stroger, Jr. Hospital",Yale University,Washington University,nil
Ashlesha Patel,Obstetrics & Gynecology,"John H. Stroger, Jr. Hospital, Provident Hospital",Northwestern University,University of Miami,Yes
Thomas D. Patrianakos,Ophthalmology,"John H. Stroger, Jr. Hospital, Provident Hospital",Midwestern University,Cook County Hospital,Ophthalmology
Reena D Paul,Family Medicine,"John H. Stroger, Jr. Hospital","University of the West Indies, Port of Spain, Trinidad",Cook County-Loyola-Provident Family Medicine Residency Program,American Board of Family Medicine
Malaika Yahaira Peart,Internal Medicine,"John H. Stroger, Jr. Hospital, Provident Hospital",Universidad de Panama,nil,nil
Victor M. Pelaez,Cardiovascular Disease,"John H. Stroger, Jr. Hospital, Provident Hospital","Universidad de San Marcos, Lima, Peru","Cook County Hospital, University of Pittsburgh","Internal Medicine, Cardiology"
Kalyani Perumal,Nephrology,"John H. Stroger, Jr. Hospital","Kilpauk Medical College, Chennai, India","John H. Stroger, Jr. Hospital of Cook County","American Board of Internal Medicine (Nephrology, Internal Medicine)"
Serge J.C. Pierre-Louis,Neurology,"John H. Stroger, Jr. Hospital, Provident Hospital","MD, State University of Haiti, Port-au-Prince, Haiti","Neurology, Case Western Reserve Hospitals-Cleveland Metropolitan General Hospital,Cleveland, Ohio",Certified
Warren W. Piette,Dermatology,"John H. Stroger, Jr. Hospital",UT Southwestern,"Parkland Memorial Hospital, Dallas, TX","Internal Medicine, Dermatology and Hematology"
Mark J. Pisaneschi,Diagnostic Radiology,"John H. Stroger, Jr. Hospital, Provident Hospital",Temple University School of Medicine,"John H. Stroger, Jr. Hospital of Cook County",American Board of Radiology
Stathis J. Poulakidas,Surgical Critical Care,"John H. Stroger, Jr. Hospital",Chicago Medical School,"Loyola University, Chicago",General Surgery/Surgical Critical Care
Nancy Quesada-Rodriguez,Pulmonary,"John H. Stroger, Jr. Hospital",Universidad Autonoma de Centro America,Michael Reese Hospital,"Internal Medicine, Pulmonary, Critical Care"
Katayoun Rezai,Infectious Diseases,"John H. Stroger, Jr. Hospital, Provident Hospital",Rush Medical College,Rush University Medical Center,American Board of Internal Medicine certification 2002 in Infectious diseases
Harry Mortimer Richter,Surgery,"John H. Stroger, Jr. Hospital",nil,nil,nil
Vimarie Rodriguez,Family Medicine,"John H. Stroger, Jr. Hospital",New York Medical College,Cook County-Loyola-Provident Family Medicine Residency Program,American Board of Family Medicine
Susan F. Rogers,Internal Medicine,"John H. Stroger, Jr. Hospital",University of Illinois at Chicago,Cook County Health,Internal Medicine
Louis G. Rohr,Internal Medicine,"John H. Stroger, Jr. Hospital",University of Illinois College at Chicago,nil,nil
Fred R. Rosen,Medical Oncology,"John H. Stroger, Jr. Hospital",University of Illinois,University of Illinois,"Hematology, Medical Oncology, Internal Medicine"
Rachel Rubin,Internal Medicine,"John H. Stroger, Jr. Hospital",Rush Medical College,nil,nil
Paul G. Rubinstein,Medical Oncology,"John H. Stroger, Jr. Hospital",Chicago Medical School,Cook County Health,"Hematology, Medical Oncology, Internal Medicine"
Alexander J. Sauper,Surgical Critical Care,"John H. Stroger, Jr. Hospital, Provident Hospital",University of Illinois at Chicago Medical Center,General Surgery at Rush University Medical Center/Cook County Health and Hospitals System,General Surgery and Surgical Critical Care
Shari Schabowski,Emergency Medicine,"John H. Stroger, Jr. Hospital",Rush University,Henry Ford Hospital,"Emergency Medicine, 2004"
Jeffrey Schaider,Emergency Medicine,"John H. Stroger, Jr. Hospital",Northwestern University Feinberg School of Medicine,Denver General Hospital,Emergency Medicine
Michael A. Schindlbeck,Emergency Medicine,"John H. Stroger, Jr. Hospital",Northwestern University Feinberg School of Medicine,Cook County Hospital,"Emergency Medicine, 2009"
Julie B. Schmidt,Obstetrics & Gynecology,"John H. Stroger, Jr. Hospital",University of Illinois,nil,Yes
David N. Schwartz,Infectious Diseases,"John H. Stroger, Jr. Hospital, Provident Hospital",Rush Medical College,University of Washington,American Board of Internal Medicine Certification in Infectious Diseases
Marin Sekosan,Anatomic and Clinical Pathology,"John H. Stroger, Jr. Hospital, Provident Hospital",University of Sarajevo,"Anatomic and Clinical Pathology, Rhode Island Hospital, Brown University & University of Illinois at Chicago",Anatomic and Clinical Pathology
Mondira Sengupta,Rheumatology,"John H. Stroger, Jr. Hospital",Baylor College of Medicine,Internal Medicine at Boston University,Rheumatology/Medicine
Michelle J. Sergel,Emergency Medicine,"John H. Stroger, Jr. Hospital",University of Arizona College of Medicine,Northwestern University - Internal Medicine,"Emergency Medicine, Internal Medicine"
Paul N. Severin,Pediatric Critical Care,"John H. Stroger, Jr. Hospital",Rush Medical College,Rush Children's Hospital,"Pediatrics, Pediatric Critical Care Medicine"
Ruhi R. Shariff,Hospice & Palliative Medicine,"John H. Stroger, Jr. Hospital",Dow Medical College University of Karachi,nil,nil
Scott C. Sherman,Emergency Medicine,"John H. Stroger, Jr. Hospital",Northwestern University Medical School,Cook County Hospital,"Emergency Medicine, 2003"
Kyungran Shim,Internal Medicine,"John H. Stroger, Jr. Hospital, Provident Hospital",Loyola University School of Medicine,nil,nil
Diane K. Sierens,Neurosurgery,"John H. Stroger, Jr. Hospital",Rush University Medical Center,nil,nil
Patricia E. Simples,Anatomic and Clinical Pathology,"John H. Stroger, Jr. Hospital",University of Texas Southwestern Medical School,nil,nil
Anshu Singh,Internal Medicine,"John H. Stroger, Jr. Hospital, Provident Hospital","MGM Medical College, Indore, India","John H. Stroger, Jr. Hospital of Cook County",Internal Medicine
Lafayette Singleton,Neurology,"John H. Stroger, Jr. Hospital, Provident Hospital","MD, Howard University Medical School, Washington, D.C.","Neurology, University of Health Sciences-Chicago Medical School, North Chicago, Ill.",Certified
Nora M. Smith,Family Medicine,"John H. Stroger, Jr. Hospital",Rush University Medical Center,Contra Costa Health System,American Board of Family Medicine
Bridgette F. Smith,Emergency Medicine,Provident Hospital,Howard University College of Medicine,nil,nil
Patrika L. Smith,Internal Medicine,"John H. Stroger, Jr. Hospital",University of Illinois College of Medicine at Rockford,nil,nil
Lauren M. Smith,Emergency Medicine,"John H. Stroger, Jr. Hospital",University of Maryland School of Medicine,Cook County Hospital,"Emergency Medicine, 2007"
Pamela D. Smith,Internal Medicine,"John H. Stroger, Jr. Hospital, Provident Hospital",Howard University College of Medicine,nil,nil
Frederic L. Starr,Surgery,"John H. Stroger, Jr. Hospital",Thomas Jefferson Medical College,Rush University,General Surgery/Surgical Critical Care
Helen Straus,Emergency Medicine,"John H. Stroger, Jr. Hospital","University of Chicago, Pritzker School of Medicine",Johns Hopkins University,"Emergency Medicine, 2004"
Linda J. Strozdas,Psychology,"John H. Stroger, Jr. Hospital",Chicago School of Professional Psychology,nil,nil
Jennifer L. Suffern,Podiatry,"John H. Stroger, Jr. Hospital, Provident Hospital, Oak Forest Health Center, Ruth M. Rothstein CORE Center, Community Clinics ACHN",Scholl College of Podiatric Medicine,Scholl College/Cook County Hospital and Advocate Illinois Masonic Medical Center,American Board of Foot and Ankle Surgery
Thomas W. Sweder,Family Medicine,"John H. Stroger, Jr. Hospital",nil,nil,nil
Kallolini S. Tailor,Diagnostic Radiology,"John H. Stroger, Jr. Hospital, Provident Hospital",MS Ramaiah Med College,University of Illinois at Chicago,nil
Sonia Tanwar,Internal Medicine,"John H. Stroger, Jr. Hospital",Maulana Azad Medical College,nil,nil
Gabor Tarjan,Cytopathology,"John H. Stroger, Jr. Hospital",Semmelweis Medical University,Northwestern Memorial,"Anatomic and Clinical Pathology, Cytopathology"
Stephanie L. Tennery,Obstetrics & Gynecology,"John H. Stroger, Jr. Hospital",nil,nil,nil
Lisa S. Thompson,Ophthalmology,"John H. Stroger, Jr. Hospital",Rush University Medical Center,"John H. Stroger, Jr. Hospital of Cook County",Ophthalmology
Chantal Sylvie M. Tinfang,Family Medicine,Provident Hospital,Heinrich Heine University Dusseldorf,nil,nil
Mary C. Tobin,Allergy and Immunology,"John H. Stroger, Jr. Hospital",nil,nil,nil
Maria L. Torres,Pain Management,"John H. Stroger, Jr. Hospital","Universidad Central del Este, Dominican Republic",Internal Medicine - Christ Medical Center; Anesthesiology - University of Illinois at Chicago,"American Board of Anesthesiology, American Board of Anesthesiology Pain Medicine, American Board of Hospice and Palliative Medicine"
Donald W. Trepashko,Nuclear Medicine,"John H. Stroger, Jr. Hospital, Provident Hospital",University Auto de Guadalajara,Ohio State University,nil
William E. Trick,Internal Medicine,"John H. Stroger, Jr. Hospital",University of Illinois,University of Minnesota Hospital and Clinics,Internal Medicine
Aiman Tulaimat,Pulmonary Diseases,"John H. Stroger, Jr. Hospital, Provident Hospital","Damascus University, Syria",Louis A. Weiss Memorial Hospital,"Internal Medicine, Pulmonary, Critical Care, Sleep Medicine"
Rafael F. Turbay,Internal Medicine,"John H. Stroger, Jr. Hospital, Provident Hospital",Pontificia Universidad Javeriana,nil,Internal Medicine
Serge Tyler,Anesthesiology,"John H. Stroger, Jr. Hospital","Tomsk Medical Institute, Russia",Anesthesiology - John H. Stroger Jr. Hospital of Cook County,American Board of Anesthesiology
Jaroslav M. Tymouch,Anesthesiology,"John H. Stroger, Jr. Hospital","Lviv Medical School, Ukraine",Anesthesiology - John H. Stroger Jr. Hospital of Cook County,American Board of Anesthesiology
Shreeyala Uday,Internal Medicine,"John H. Stroger, Jr. Hospital","Kempegowda Institute of Medical Sciences, Bangalore , India",University of Illinois at Urbana Champaign,American Board of Internal Medicine
Ozuru Ochu Ukoha,Thoracic and Cardiac Surgery,"John H. Stroger, Jr. Hospital","University of Missouri, Columbia School of Medicine",nil,nil
Joy A. Ungaretti,Obstetrics & Gynecology,"John H. Stroger, Jr. Hospital",Chicago Medical School,nil,Yes
Manuel F. Utset,Pathology,"John H. Stroger, Jr. Hospital",nil,nil,nil
Sergio Vargas,Internal Medicine,"John H. Stroger, Jr. Hospital",Javeriana Pontifical University,nil,Internal Medicine
Pamela Teresa Vergara-Rodriguez,Psychiatry,"John H. Stroger, Jr. Hospital","University of California, Davis",Rush University Medical Center,"Internal Medicine, Psychiatry, Addiction medicine"
Jane Vernik,Nephrology,"John H. Stroger, Jr. Hospital",Rush Medical College of Rush University,University of Illinois at Chicago Hospital,"Nephrology, Internal Medicine"
Gijo G. Vettiankal,Gastroenterology,"John H. Stroger, Jr. Hospital","Queens University, Belfast, UK","Cook County Health and Hospitals System, Chicago, IL","Internal Medicine, Gastroenterology"
Patricia P. Vidal,Urology,"John H. Stroger, Jr. Hospital",University of Illinois College of Medicine,nil,nil
Gennadiy Voronov,Anesthesiology,"John H. Stroger, Jr. Hospital","St. Petersburg Pediatric Medical Institute, Russia",Anesthesiology,American Board of Anesthesiology
Hector A Vydas,Family Medicine,"John H. Stroger, Jr. Hospital",nil,nil,nil
Taruna Waghray-Penmetcha,Pain Management,"John H. Stroger, Jr. Hospital","Sawai Man Singh Medical College, India","John H. Stroger, Jr. Hospital, Anesthesiology",American Board of Anesthesiology
Kimberly Walton-Verner,Pediatrics,Cottage Grove Health Center,Wright State University School of Medicine,McGaw Medical Center of Northwestern University,Pediatrics
Lakshmi Warrior,Neurology,"John H. Stroger, Jr. Hospital, Provident Hospital",Rush Medical College,Rush University Medical Center,Neurology
Cynthia Watson,Internal Medicine,"John H. Stroger, Jr. Hospital, Provident Hospital",Loyola University School of Medicine,nil,nil
Jeffrey D. Watts,Psychiatry,"John H. Stroger, Jr. Hospital",Emory University School of Medicine,nil,nil
Joseph M. Weber,Emergency Medicine,"John H. Stroger, Jr. Hospital",Northwestern University Medical School,Cook County Hospital,Emergency Medicine and Emergency Medical Services
Sharon F. Welbel,Infectious Diseases,"John H. Stroger, Jr. Hospital, Provident Hospital","University of Illinois College of Medicine, Chicago",Cook County Hospital and Michael Reese Hospital and Medical Center,nil
Mark A. Wille,Urology,"John H. Stroger, Jr. Hospital","University of Chicago, Pritzker School of Medicine",nil,nil
Chad J. Zawitz,Infectious Diseases,"John H. Stroger, Jr. Hospital","Rush University, Chicago",University of Pittsburgh Medical Center,"Internal Medicine, Infectious Diseases"
