disease,userquery,userquerySyms
Hirsutism,"
Hirsutism is the growth of thick, coarse hair on the body or face. The hair is usually dark and may be accompanied by acne. Hirsutism can be a symptom of a variety of conditions, including polycystic ovary syndrome (PCOS), Cushing's syndrome, and adrenal gland disorders.","hi,hi,polycystic ovary syndrome,pc,cu,shing ' s"
Mitral valve prolapse,"
The most common symptom of mitral valve prolapse is a heart murmur. Other symptoms may include chest pain, shortness of breath, fatigue, and irregular heartbeat.","mit,ral,chest,shortness of breath"
Alcoholic hepatitis,"
-Yellowing of the skin and whites of the eyes
-Abdominal pain
-Nausea and vomiting
-Diarrhea
-Loss of appetite
-Fatigue
-Weight loss","yellowing,skin,whites,eyes,abdominal,pain,nausea,vomiting,diarrhea,loss of appetite,fatigue,weight loss"
Thyroid cancer,"
-Lump in the neck, painless swelling in the neck
-A hoarse voice or trouble swallowing
-Enlarged lymph nodes in the neck
-Persistent cough
-Difficulty breathing
-Fatigue
-Weight loss
-Muscle weakness
-Increased sensitivity to cold temperatures","lump,swelling,neck,hoarse voice,trouble swallowing,enlarged,l,ym,ph nodes,neck,cough,difficulty breathing,fatigue,weight loss,muscle weakness,sensitivity to,temperatures"
Hodgkin's lymphoma (Hodgkin's disease),"
The most common symptom of Hodgkin's lymphoma is swelling of the lymph nodes in the neck, under the arms, or in the groin. Other symptoms may include:

-Fever
-Night sweats
-Unexplained weight loss
-Itchy skin
-Loss of appetite
-Tiredness
-Cough or trouble breathing","ho,dgkin ' s lymphoma,swelling,l,ymph nodes,under,fever,night sweats,weight loss,chy,skin,loss of appetite,tiredness,cough,trouble breathing"
Spina bifida,"
There are a range of symptoms that can occur with spina bifida, and they can vary depending on the severity of the condition. Some common symptoms include:

-neurological problems
-learning difficulties
- problems with movement and coordination
- urinary and bowel incontinence
- hydrocephalus (buildup of fluid in the brain)","symptoms,neurological problems,learning difficulties,movement and,coordination,ur,inary,bow,incontinence,hydrocephalus,buildup of,fluid"
Granulomatosis with polyangiitis,"
-Fever
-Weight loss
-Fatigue
-Muscle and joint aches
-Numbness, tingling or weakness in the hands or feet
-Skin rashes
-Kidney problems","fever,weight loss,fatigue,muscle,joint,ache,numb,tingling,weakness,hands,feet,skin,rash,kidney problems"
Adenomyosis,"
Symptoms of adenomyosis can include:

-Pelvic pain, which may be sharp or dull, and is often worse during menstruation
-Heavy or prolonged menstrual bleeding
-Bleeding between periods
-Difficulty becoming pregnant
-Pain during sex","aden,osis,pel,vic,menst,rual,bleeding,bleeding,pain"
Lymphoma,"
There are many different types of lymphoma, so symptoms can vary. They may include swollen lymph nodes, fatigue, fever, weight loss, and itching.",swollen
Spontaneous coronary artery dissection (SCAD),"
The symptoms of spontaneous coronary artery dissection (SCAD) can vary depending on the person. Some people may have no symptoms at all, while others may experience chest pain, shortness of breath, or irregular heartbeat.","corona,dissection,symptoms,chest,shortness of breath"
Kidney cancer,"
-Blood in the urine
-A mass or lump in the abdomen
-Back pain
-Weight loss
-Fatigue","blood,urine,mass,lump,abdomen,back,pain,weight loss fatigue"
Pink eye (conjunctivitis),"
-Redness of the conjunctiva
-Swelling of the conjunctiva
-Discharge from the eye
-Itching or burning sensation in the eye
-Crusting of the eyelids
-Sensitivity to light","redness,conjunctiva,swelling,conjunctiva discharge,from the eye,it,ching,burning,eye,crust,ing,of the eyelids"
Baker cyst,"
The most common symptom of a Baker cyst is a bulge on the back of the knee. The area may feel tight, and the knee may feel stiff. The skin over the cyst may be red or warm to the touch. There may also be pain when moving the knee or when pressure is applied to the area.","bulge,back,knee,cy,pain,knee"
Nasal and paranasal tumors,"
There are a variety of symptoms that can be associated with nasal and paranasal tumors, depending on the specific type and location of the tumor. In general, symptoms may include persistent nasal obstruction, pain or pressure in the nose or sinuses, epistaxis (nosebleeds), headaches, facial pain or numbness, visual changes, and/or proptosis (forward displacement of the eye).","nasal,paranasal,symptoms,nasal,pain,pressure,nose,ep,ista,xis,nose,headache,facial,pain,proptosis"
Cervical spondylosis,"
The symptoms of cervical spondylosis can vary from person to person, and range in severity from mild to severe. The most common symptom is neck pain, which can be mild or severe. Other symptoms may include:

-Headaches
-Pain and stiffness in the neck
-Pain that radiates from the neck into the shoulders, arms, or back
-Numbness or tingling in the arms or hands
-Weakness in the arms or hands
-","cervical,sp,ondylosis,neck,headache,pain,stiffness,neck,pain,neck,back,numbness,tingling,arms,hands,weakness,arms,hands"
Rosacea,"
There is no definitive list of symptoms of rosacea, as the condition can vary greatly from person to person. However, some common symptoms include facial redness, flushing, bumps or pimples on the face, and visible blood vessels.","facial,bumps,pimples"
Myelofibrosis,"
Symptoms of myelofibrosis can vary depending on how advanced the disease is. Early symptoms may be mild and not require treatment. More severe symptoms can include:

• fatigue
• weakness
• weight loss
• night sweats
• bone pain or tenderness
• skin itching (pruritus)
• yellowing of the skin and whites of the eyes (jaundice)
• enlarged spleen (splenomegaly)
• abdominal pain
","my,elofibrosis,symptoms,symptoms,fatigue,weakness,weight loss,night sweats,bone,pain,tenderness,skin,it,ching,yellowing,skin,whites of,the eyes,ja,und,ice,enlarged,spleen,sp,abdominal,pain"
Pseudotumor cerebri (idiopathic intracranial hypertension),"
-headache (usually worse in the morning)
-neck pain or stiffness
-tinnitus (ringing in the ears)
-vision problems (blurred or double vision)
- diplopia (seeing two images of a single object)
- transient visual obscurations (momentary blackouts or blind spots in vision)
- pulsatile tinnitus (a ""whooshing"" sensation in the ears with every heartbeat)","headache,neck,pain,stiffness,tinnitus,vision problems,dip,lo,visual obscurations,blackout,blind spots,ls,le,tin,nitus,who,oshi,ng,sensation,ears"
Food allergy,"
-Tingling or itchiness in the mouth
-Hives
-Swelling of the lips, tongue, and throat
-Difficulty breathing
-Nausea or vomiting
-Diarrhea
-Anaphylaxis","tingling,it,chiness,mouth,hives,swelling,lips,throat,difficulty breathing,nausea,vomiting,diarrhea,anaphylaxis"
Wilms' tumor,"
The most common symptom of Wilms' tumor is a painless swelling in the abdomen. Other symptoms may include fever, weight loss, and blood in the urine.","swelling,fever,weight"
Essential thrombocythemia,"
There are many potential symptoms of essential thrombocythemia, as the condition can affect many different parts of the body. Some people may not experience any symptoms at all. Potential symptoms include fatigue, weakness, shortness of breath, chest pain, dizziness, headache, visual changes, and tingling in the extremities.","symptoms,shortness of breath,chest,tingling"
Entropion,"
-eyelids that turn inward
-irritation
- tearing
-redness","eyelids,irritation,redness"
Acute myelogenous leukemia,"
-Fever
-Chills
-Sweats
-Weight loss
-Fatigue
-Weakness
-Pale skin
-Shortness of breath
-Frequent infections
-Unexplained bleeding from gums, nose, or under the skin","fever,chill,sweat,weight loss,fatigue,weakness,pale,skin,shortness of breath,infections,bleeding,gum,under the skin"
Brachial plexus injury,"
The brachial plexus is a group of nerves that extends from the spinal cord to the shoulder, arm, and hand. A brachial plexus injury occurs when these nerves are stretched, compressed, or torn.

Symptoms of a brachial plexus injury may include:

* weakness or paralysis of the arm or hand
* numbness or tingling in the arm or hand
* pain in the shoulder, arm, or hand
","bra,chia,spinal cord,bra,chia,pl,bra,pl,weakness,paralysis,arm,hand,numbness,tingling,arm,hand,pain,shoulder,arm,hand"
Vesicoureteral reflux,"
The main symptom of vesicoureteral reflux is urine leaking from the ureters into the kidneys. This can cause damage to the kidneys over time. Other symptoms may include:

-Frequent urinary tract infections
-Pain during urination
-Bedwetting in children
-Poor urinary stream
-Urinary urgency or frequency","urine,leaking,ureters,kidney,kidney,ur,inary tract,infections,pain,urgency"
Heart failure,"
-Fatigue
-Swelling in the legs, ankles, and feet
-Rapid or irregular heartbeat
-Shortness of breath
-Chest pain
-Nausea
-Weight gain","fatigue,swelling,ankles,feet,shortness of breath,chest,pain,nausea,weight gain"
Anal fissure,"
Common symptoms of anal fissures include pain, itching, and bleeding during or after bowel movements. The pain is usually severe and lasts for several minutes.","anal,bleeding,pain"
Bursitis,"
There are several symptoms of bursitis, which may occur suddenly or gradually. They include:

* Pain, which is often worse with movement or pressure
* Tenderness
* Swelling
* Redness
* Warmth to the touch","pain,tenderness,swelling,red,warmth"
Brain tumor,"
The symptoms of a brain tumor vary depending on the size, location and type of tumor. They may include headaches, seizures, loss of sensation, paralysis, changes in personality and problems with vision, hearing or balance.","brain,headache,loss of sensation,in personality"
Central sleep apnea,"
The most common symptom of central sleep apnea is loud snoring. Other symptoms may include:

* Waking up feeling tired or unrefreshed
* Waking up frequently during the night
* Gasping or choking during sleep
* Difficulty concentrating during the day
* Moodiness or irritability
* Morning headaches","up,tired,unrefreshed,up,gasping,choking,concentrating,moodiness,irritability,headaches"
Generalized anxiety disorder,"
There are a variety of symptoms that can be associated with generalized anxiety disorder, but some of the most common include feeling excessively nervous or anxious, having difficulty sleeping, feeling tired or having trouble concentrating. Other symptoms may include sweating, rapid heartbeat and dizziness.","nervous,tired"
Polymorphous light eruption,"
The symptoms of polymorphous light eruption include:

-itching
-redness
-swelling
-blisters or bumps on the skin
-pain","light eruption,it,ching,redness,swelling,blisters,bumps,skin,pain"
Bladder exstrophy,"
Bladder exstrophy is a birth defect in which the bladder is exposed and protrudes out of the body. Other defects can also be present, such as an incompletely formed urethra, pubic bones that are far apart, or a missing vagina.","bladder exstrophy,bladder"
Spinal cord injury,"
Symptoms of a spinal cord injury may include:

Loss of movement
Loss of sensation, including the ability to feel heat, cold and touch
Paralysis (an inability to move parts of the body)
Intense pain
Changes in sexual function, sexual sensation and fertility
Loss of bowel or bladder control","spinal cord injury,loss of movement,to feel heat,cold,paralysis,inability to move,pain,sexual sensation,fertility loss of,bladder"
Pulmonary hypertension,"
- Dyspnea (shortness of breath)
- Fatigue
- Chest pain
- Dizziness
- Swelling in the legs, ankles, and feet","d,yspnea,shortness of breath,fatigue,chest,pain,di,zziness,swelling,legs,ankles,feet"
Brugada syndrome,"
Symptoms of Brugada syndrome include fainting, irregular heartbeat, and sudden cardiac death.","br,uga,syndrome"
Klippel,"
-torticollis
-scoliosis
-kyphosis
-lordosis
-webbed neck
-low-set ears
-cleft palate
-heart defects
-hernias
-kidney defects","torticollis scoliosis,kyphosis,lordosis,webbed neck,low set ears,cleft pal,ate,heart defects,hernias,kidney defects"
Lung cancer,"
-A cough that does not go away
-Coughing up blood or rust-colored sputum
-Chest pain
-Shortness of breath
-Wheezing
-Loss of appetite
-Weight loss
-Fatigue","cough,coughing up,blood,sputum,chest,pain,shortness of breath,wheezing,loss of appetite,weight loss,fatigue"
Transient global amnesia,"
The symptoms of transient global amnesia include:

-sudden onset of amnesia
-inability to form new memories
-inability to recall old memories
-confusion
-disorientation
-memory loss for a period of time (usually less than 24 hours)","amnesia,amnesia,inability to form new memories,inability to recall old memories,confusion,sor,memory loss"
Nonalcoholic fatty liver disease,"
The symptoms of nonalcoholic fatty liver disease (NAFLD) vary, and many people with the condition do not have any symptoms. When present, symptoms may include fatigue, weight loss, and abdominal pain.","fatty liver disease,na,fl,abdominal"
Arteriovenous malformation,"
ARRHYTHMIA, CHEST PAIN, FATIGUE, HEADACHES, HYPERTENSION","chest,headache,hypertension"
Lymphedema,"
Some common symptoms of lymphedema are:

Swelling in the affected limb or area of the body
A feeling of heaviness or fullness in the affected limb or area
Achy or tight sensations in the affected limb or area
Restricted range of motion in the affected limb or area
Recurring infections in the affected limb or area
Hardening and thickening of the skin in the affected limb or area","l,ym,ph,ma,swelling,limb,body,feeling,heaviness,fullness,limb,ac,hy,tight,sensations,limb,limb,infections,limb,hardening,thickening,skin,limb"
Invasive lobular carcinoma,"
Invasive lobular carcinoma (ILC) is a type of breast cancer. Symptoms of ILC may include: 
-a lump in the breast
-an abnormal mammogram
-a change in the size or shape of the breast
-a change in the appearance of the nipple
-discharge from the nipple
-pain in the breast","lobular carcinoma,il,breast,il,lump,breast,change,breast,change,nipple,nipple,pain,breast"
Growth plate fractures,"
The most common symptom of a growth plate fracture is pain. Other symptoms may include:

* Swelling
* Tenderness
* Bruising
* Deformity in the affected limb
* Inability to move the affected limb","growth plate fracture,pain,swelling,tenderness,br,uising,deformity,affected,limb,inability to move,limb"
REM sleep behavior disorder,"
The symptoms of REM sleep behavior disorder (RBD) include acting out vivid dreams during sleep, sleep talking, and sleep walking. People with RBD may also experience nightmares.","re,m sleep behavior disorder,rbd,rbd"
Dislocated shoulder,"
The main symptom of a dislocated shoulder is intense pain in the shoulder joint. You may also have:

•	Swelling
•	Bruising
•	Tenderness
•	Deformity of the shoulder
•	Loss of movement in your arm","di,sl,oca,ted,shoulder,pain,shoulder,swelling,br,uising,tenderness,def,or,mity,shoulder,loss of movement,arm"
Vasculitis,"
There is no one answer to this question as the symptoms of vasculitis can vary depending on which blood vessels are affected. However, some common symptoms of vasculitis include fatigue, fevers, muscle and joint aches, rashes, and problems with digestion.","va,litis,vasculitis,muscle,joint,ache,rash"
Eosinophilic esophagitis,"
The symptoms of Eosinophilic esophagitis may vary depending on the severity of the inflammation, but can include heartburn, chest pain, difficulty swallowing, nausea, vomiting, and weight loss. In children, symptoms may also include failure to thrive.","esophagitis,chest,symptoms"
Autonomic neuropathy,"
There are many symptoms of autonomic neuropathy, and they depend on which organs are affected. Some common symptoms include lightheadedness or dizziness when standing up, fainting, constipation, diarrhea, bladder problems, sexual dysfunction, and trouble sweating.","lightheadedness,dizziness"
Secondary hypertension,"
Symptoms of secondary hypertension may include: 
-Headache 
-Fatigue 
-Dizziness 
-Nosebleeds 
-Shortness of breath 
-Chest pain","hyper,tension,headache,fatigue,di,zziness,nosebleeds,shortness of breath,chest,pain"
Diabetic nephropathy (kidney disease),"
- high blood pressure
- protein in the urine
- swelling in the feet and ankles
- fatigue
- difficulty breathing
- frequent urination (especially at night)
- thirst
- blurred vision","urine,swelling,feet,ankles,fatigue,difficulty,thirst,blurred vision"
Chronic cough,"
-a cough that persists for more than 8 weeks
-a cough that is worse at night or in the morning
-a cough that produces phlegm or mucus
-a cough that is accompanied by shortness of breath, wheezing, or chest pain
-a cough that worsens with smoking, dust, or other irritants in the air","cough,cough,phlegm,mu,cough,shortness of breath,whee,chest,pain,cough,smoking,dust,irritants in"
Nasal polyps,"
Some symptoms of nasal polyps may include:

- runny nose
- stuffy nose
- postnasal drip
- facial pain or pressure
- headache
- loss of smell or taste","nasal,runny,nose,stuff,y,nose,facial,pain,pressure,headache,loss of smell,taste"
Juvenile idiopathic arthritis,"
The most common symptom of juvenile idiopathic arthritis (JIA) is joint pain. Other symptoms may include:

• Joint stiffness
• Joint swelling
• Limping
• Fever
• Rashes
• Fatigue","idiopathic arthritis,jia,joint,pain,joint,stiffness,joint,swelling,limping,fever,rashes,fatigue"
Pectus excavatum,"
The most common symptom of pectus excavatum is a sunken appearance of the chest. Other symptoms may include:

- Pain in the chest or back
- Shortness of breath
- Fatigue
- Rapid heart rate
- Exercise intolerance","pectus,ca,sunken appearance,chest,pain,chest,back,shortness of breath,fatigue,heart,exercise intolerance"
Phantom pain,"
There is not a single answer to this question as everyone experiences phantom pain differently. However, some common symptoms include a feeling of pins and needles, burning, coldness, numbness, or a sensation of tightness or pressure in the affected limb. Additionally, the pain may be constant or intermittent, and can vary in intensity.","pain,tightness,pressure,pain"
Anal cancer,"
The symptoms of anal cancer are often similar to those of other conditions, such as hemorrhoids or an anal fissure. This can make the cancer hard to diagnose early on.

Some common symptoms of anal cancer include:

-bleeding from the anus or rectum, which may be noticed as blood in the stool or toilet paper
-a change in bowel habits, such as persistent diarrhea or constipation
-rectal pain or pressure
-a lump or mass near","anal,cancer,hem,orrhoids,anal,cancer,bleeding,anus,rec,dia,rr,hea,sti,pati,rectal,pain,pressure,lump,mass"
Ureteral obstruction,"
Pyelonephritis, renal calculi, hydronephrosis","p,renal,hydro,rosis"
Cardiogenic shock,"
Cardiogenic shock is a medical emergency that happens when your heart can't pump enough blood to meet your body's needs. This can cause a decrease in blood pressure, an increase in your heart rate, and organ damage. Symptoms of cardiogenic shock include shortness of breath, chest pain, irregular heartbeat, fatigue, and mental confusion. If you think you are experiencing cardiogenic shock, call 911 immediately.","cardiogenic shock,cardiogenic shock,shortness of breath,chest,cardio,shock"
Uterine polyps,"
Uterine polyps are growths of tissue on the inner wall of the uterus. They may cause heavy bleeding during menstruation. Other symptoms may include bleeding between periods, bleeding after menopause, and pelvic pain.","ut,ut,bleeding,bleeding,bleeding,pe,vic"
Broken leg,"
– Bone protruding from the skin
– Severe pain
– Swelling
– Bruising
– inability to put weight on the leg","bone,from,skin,pain,swelling,br,uising,inability to put weight,leg"
Chronic lymphocytic leukemia,"
-Frequent infections
-Excessive bruising and bleeding
-Fatigue
-Enlarged lymph nodes, liver, or spleen
-Weight loss
-Fever","infections,br,uising,fatigue,enlarged,l,sp,leen,weight loss,fever"
Nicotine dependence,"
There are many symptoms of nicotine dependence, including but not limited to: craving nicotine, feeling irritable or anxious when trying to quit, difficulty concentrating, restlessness, and fatigue.","feeling,irritable,anxious"
Bone metastasis,"
-Pain in the affected bone 
-Swelling or tenderness in the affected area 
-Weakness or numbness in the affected extremity 
-Fractures in the affected bone 
-Loss of appetite 
-Weight loss 
-Fatigue","pain,bone,swelling,tenderness,area,weakness,numbness,extremity,fractures,bone,loss of appetite,weight loss,fatigue"
Breast cancer,"
-A lump or thickening in the breast
-A change in the size or shape of the breast
-A change in the appearance of the nipple, such as crusting, ulceration, redness, or inverted nipple
-Discharge from the nipple
-Breast pain","lump,thick,ening,breast,breast,nipple,nipple,breast,pain"
Tetralogy of Fallot,"
The symptoms of Tetralogy of Fallot can vary depending on the severity of the condition. Some people with Tetralogy of Fallot may not have any symptoms, while others may experience symptoms such as fatigue, dizziness, fainting, shortness of breath, and chest pain.","ot,ot,shortness of,chest"
Amyloidosis,"
There are many different types of amyloidosis, each with its own set of symptoms. In general, amyloidosis may cause problems with the heart, kidneys, liver, spleen, nervous system, and digestive system.

-Heart problems may include an irregular heartbeat, heart failure, or chest pain.
-Kidney problems may include kidney failure or a decreased urine output.
-Liver problems may include yellowing of the skin or eyes (jaundice),","amy,amy,osis,heart,chest,kidney,kidney failure,liver,yellowing of the skin,eyes,ja,und,ice"
Ankylosing spondylitis,"
- Pain and stiffness in the spine, especially in the morning or after sitting or lying down for a long period of time
- Pain and stiffness in the hips, buttocks, and thighs
- Difficulty bending backwards
- A hunched posture
- Loss of appetite
- Weight loss
- Fatigue","pain,stiffness,pain,stiffness,butt,thighs,difficulty,backwards,hunched posture,loss of appetite,weight loss,fatigue"
Drug allergy,"
The symptoms of a drug allergy can vary from mild to severe. They may include:

* itching
* hives
* swelling
* difficulty breathing
* chest pain
* dizziness
* fainting","drug,it,ching,hives,swelling,difficulty breathing,chest,pain,di,zziness,fainting"
Adrenal cancer,"
There are many possible symptoms of adrenal cancer, but the most common include:

-Abdominal pain
-Weight loss
-Fatigue
-Weakness
-Nausea and vomiting
-Loss of appetite","abdominal,pain,weight loss,fatigue,weakness,nausea,vomiting,loss of appetite"
Acute liver failure,"
The symptoms of acute liver failure can come on quickly or over several weeks. They may include:

* Yellowing of the skin and whites of the eyes (jaundice)
* Nausea
* Vomiting
* Pain in the upper right side of the abdomen
* Enlargement of the liver
* Enlargement of the spleen
* Fluid accumulation in the abdomen (ascites)
* Mental confusion or coma","liver failure,yellowing of the skin,whites of the eyes,ja,und,ice,nausea,vomiting,pain,upper right side,abdomen,en,lar,gement,liver,en,lar,gement,spleen,fluid,accumulation,abdomen,as,mental,confusion,coma"
Glioma,"
-Headaches
-Nausea
-Vomiting
-Fatigue
-Seizures
-Changes in vision
-Changes in personality
-Memory problems","headache,nausea,vomiting,fatigue,seizures,changes,personality,memory problems"
Uterine fibroids,"
Symptoms of uterine fibroids can include:

• Heavy menstrual bleeding
• Anemia (low blood count)
• Pelvic pain or pressure
• Frequent urination
• Difficulty emptying the bladder
• Constipation
• Backache or leg pains","ut,ids,men,st,rual,bleeding,•,an,emia,pelvic,pain,pressure,urination,ing the bladder,con,sti,pation,backache,leg,pains"
Diabetic retinopathy,"
-Blurry vision
-Spots or floaters in your vision
-Fluctuating vision
-Poor night vision
-Vision loss","blurry vision,spots,floaters,vision,vision,night vision,vision,loss"
Brain AVM (arteriovenous malformation),"
The symptoms of a brain AVM can vary depending on its size and location. Smaller AVMs may cause no symptoms at all. Larger AVMs may cause headaches, seizures, or even stroke.","brain,avm,avms,symptoms,avms"
Sickle cell anemia,"
The symptoms of sickle cell anemia can vary from person to person and range from mild to severe. Some people with sickle cell anemia have few symptoms, while others may experience pain, fatigue, infections, and other complications.

The most common symptom of sickle cell anemia is pain. This pain can be caused by many things, including dehydration, infection, and bone or joint damage. People with sickle cell anemia may also experience fatigue, shortness of breath,","an,sick,an,pain,sick,an,shortness of breath"
Ataxia,"
There is no one symptom of ataxia, as the condition can affect different parts of the body in different ways. However, some common symptoms include problems with balance and coordination, difficulty speaking, difficulties swallowing, and muscle weakness.","balance,coordination"
ACL injury,"
- pain in the knee
- swelling
- instability
- limited range of motion","pain,knee,swelling,instability"
Supraventricular tachycardia,"
The symptoms of supraventricular tachycardia can vary depending on how fast the heart is beating and how long it has been beating at that rate. If the heart is beating too fast, it may not have enough time to fill with blood between beats. This can cause symptoms such as lightheadedness, dizziness, or fainting. A fast heart rate can also cause shortness of breath and chest pain.","ricular,lightheaded,shortness of breath,chest"
Guillain,"
-muscle weakness
-loss of reflexes
-numbness
-tingling
-pain
-paralysis","muscle weakness,loss of reflexes,numbness,tingling,pain,paralysis"
Essential tremor,"
There is no one definitive symptom of essential tremor, as symptoms may vary from person to person. However, some common symptoms include shaking hands, trembling voice, and difficulty with fine motor skills.","shaking,trembling"
Laryngitis,"
The symptoms of laryngitis vary depending on the underlying cause. However, the most common symptom is hoarseness. Other symptoms may include sore throat, cough, and fever. In some cases, laryngitis may also cause difficulty swallowing.","la,hoarse,sore,la,gitis"
Pseudomembranous colitis,"
Pseudomembranous colitis is a medical condition in which the colon becomes inflamed and covered with pseudomembranes. Symptoms may include watery diarrhea, abdominal pain, fever, and bloody stools. The inflammation is typically caused by an overgrowth of Clostridium difficile bacteria in the gut.","me,mb,colitis,colon,in,fl,amed,dia,abdominal,cl"
Peptic ulcer,"
The symptoms of a peptic ulcer can vary from person to person. Some people may have no symptoms at all. common symptoms include:

- Burning pain in the stomach or upper abdomen, usually relieved by eating or taking antacids
- Bloating 
- Heartburn 
- Nausea or vomiting 
- Loss of appetite 
- Weight loss 
- Blood in the stool","peptic ul,symptoms,pain,stomach,heartburn,nausea,vomiting,loss of appetite,weight loss,stool"
Polycystic ovary syndrome (PCOS),"
There are many symptoms of PCOS, and they can vary from person to person. The most common symptoms are:

-Irregular periods
-Heavy bleeding during periods
-Pain during periods
-Infertility
-Weight gain
-Acne
-Oily skin
-Hirsutism (excessive hair growth on the face, chest, back, or thighs)","pc,bleeding,pain,weight gain,ac,ne,oily,skin,hirsutism,hair growth"
Patellofemoral pain syndrome,"
The symptoms of patellofemoral pain syndrome include pain and discomfort around the kneecap, clicking or popping sensations when moving the knee, and difficulty fully extending the knee.","patel,femoral,pain,pain,discomfort,knee"
Ganglion cyst,"
A ganglion cyst is typically a benign growth that develops along a tendon or joint in the hand or foot. The cyst is filled with a jelly-like fluid and is usually not painful unless it presses on a nerve. Ganglion cysts can vary in size and may grow larger over time.","ganglion,cyst,along a tendon,joint,hand,cyst,gang,cysts"
Kidney infection,"
 Kidney infection symptoms can include:

- pain in your side, back, stomach, groin, or around your anus
- chills or night sweats
- fever of 101 F (38.3 C) or higher
- vomiting or diarrhea
- mental changes such as confusion
- uncontrolled shaking or muscle twitching
- persistent hiccups
- loss of appetite
- fatigue","kidney,infection,pain,around your anus,chills,night sweats,fever,vomiting,diarrhea,mental changes,confusion,shaking,muscle twitching,hiccups,loss of appetite,fatigue"
Occupational asthma,"
The symptoms of occupational asthma can vary from person to person. Some people may have mild symptoms that only occur while they are at work, while others may have more severe symptoms that persist even after they leave work. The most common symptoms of occupational asthma include:

- Wheezing
- Shortness of breath
- Chest tightness
- Coughing
- Difficulty sleeping
- Fatigue","occupational,symptoms,symptoms,occupational asthma,w,heezing,shortness of breath,chest,tightness,coughing,sleeping,fatigue"
Hay fever,"
The main symptom of hay fever is allergic rhinitis, which is inflammation of the nose. This can cause a runny nose, congestion, itchy eyes and nose, and sneezing.","fever,allergic,rhini,inflammation,run,it,chy"
Carpal tunnel syndrome,"
The symptoms of carpal tunnel syndrome include numbness and tingling in the hand and fingers, pain in the wrist and hand, weakness in the hand, and difficulty gripping objects.","carpal tunnel syndrome,numbness,tingling,hand,pain,wrist,weakness,difficulty gripping"
Thumb arthritis,"
There are several symptoms of thumb arthritis, and they vary depending on the severity of the condition. The most common symptom is pain in the thumb and wrist, especially when using the thumb for tasks such as grasping or turning. There may also be swelling and tenderness in the affected area. The range of motion in the thumb may be reduced, and the thumb may feel stiff or weak. In severe cases, the arthritis may cause deformity in the thumb.","thumb,pain,thumb,swelling,tenderness,thumb,thumb,stiff,arthritis,deformity"
HPV infection,"
The most common symptom of HPV infection is genital warts. Other symptoms include cervical cancer, anal cancer, and oropharyngeal cancer.","hpv,gen,ital,oro,pha,ryn"
End,"
The symptoms of endometriosis can vary greatly from person to person. Some people may have no symptoms at all, while others may have mild or severe symptoms.

The most common symptom of endometriosis is pelvic pain. This pain can be mild, moderate, or severe. It may be sharp or crampy, and it can be constant or come and go. Other common symptoms include:

•	Dysmenorrhea (painful periods)
•","end,symptoms,end,pe,l,vic,pain,pain,d,ys,menorrhea"
Male breast cancer,"
The most common symptom of male breast cancer is a lump in the breast. However, some men with breast cancer may have no symptoms at all. Other possible symptoms include:

- Breast pain
- Nipple discharge or changes in the appearance of the nipple
- Skin changes, such as dimpling or puckering
- Breast enlargement","breast,lump,breast,symptoms,breast,pain,nipple,nipple,breast,en,largement"
Cryoglobulinemia,"
Signs and symptoms of cryoglobulinemia include:

• Joint pain and swelling
• Muscle pain
• Numbness, tingling or weakness in your hands or feet
• Purple or red spots on your skin (purpura)
• Raynaud's phenomenon, a condition that causes blood vessels in your fingers and toes to narrow when exposed to cold or during times of stress
• Skin ulcers
• Fatigue","cryoglobulinemia,joint,pain,swelling,muscle,pain,numb,tingling,weakness,hands,feet,spots,skin,ray,blood vessels,fingers,toes,cold,stress,skin,ulcers,fatigue"
Liposarcoma,"
symptoms of Liposarcoma can include:

• a lump or mass that is usually painless
• an increase in size of the lump over time
• a feeling of fullness or heaviness in the affected area
• discomfort or pain in the affected area, if the tumor is large enough to press on nearby structures
• fatigue
• weight loss, if the tumor is large enough to affect your appetite","liposarcoma,lump,mass,lump,fullness,he,aviness,discomfort,pain,tumor,nearby structures,fatigue,tumor"
Aortic valve stenosis,"
Aortic valve stenosis is a condition in which the aortic valve narrows, restricting blood flow from the heart to the aorta. Symptoms may include shortness of breath, fatigue, lightheadedness, and chest pain. If left untreated, aortic valve stenosis can lead to heart failure or sudden death.","ao,ao,shortness of breath,headed,chest,ao,heart"
Liver hemangioma,"
There are often no symptoms associated with a liver hemangioma. If symptoms do occur, they may include abdominal pain, nausea, and vomiting.","symptoms,liver,symptoms,abdominal"
Ureteral cancer,"
-Blood in the urine
-Weight loss
-A mass or lump in the abdomen
-Pelvic pain","blood,weight loss,mass,lump,abdomen,pe,lvic,pain"
Celiac disease,"
There are many symptoms of celiac disease, and they vary from person to person. The most common symptoms are abdominal pain, bloating, gas, diarrhea, constipation, fatigue, and weight loss. Other symptoms may include anemia, bone or joint pain, depression, anxiety, mouth ulcers, and skin rashes.","abdominal,an,bone,joint,skin"
Broken hand,"
There may be pain, swelling, bruising, and deformity of the hand. The person may not be able to move the hand or fingers.",
Iron deficiency anemia,"
-Fatigue
-Weakness
-Pale skin
-Chest pain
-Shortness of breath
-Dizziness
-Headaches","fatigue,weakness,pale,skin,chest,pain,shortness of breath,di,zziness,headaches"
