disease,symptoms,specialties
Anal fissure,"crack,skin,around the anus,pain,blood,lump,tag,skin,anal fissure","Colon and Rectal Surgery,Gastroenterology and Hepatology"
Avascular necrosis (osteonecrosis),,"Shoulder and Elbow Surgery in Rochester,Orthopedic Surgery"
Bursitis,"hurt,ac,hy,stiff,swollen,red","Physical Medicine and Rehabilitation,Shoulder and Elbow Surgery in Rochester,Orthopedic Surgery"
Brain tumor,"loss of sensation,movement,arm,leg,feeling,tired,hearing problems,confusion,headache,speech difficulties,blurred vision,double vision,loss of peripheral vision,inability to,headaches,nausea,vomiting,seizures","Physical Medicine and Rehabilitation,Neurology,Radiation Oncology,Neurosurgery,Proton Beam Therapy Program,Oncology (Medical),Radiology,Pediatric Rehabilitation,Brain Tumor Program"
Central sleep apnea,"not breathing,abnormal breathing patterns,headaches,awakenings,shortness of breath,mood changes,difficulty,staying asleep,ins,om,nor,sleepiness,hyper,som,difficulty,concentrating","Psychiatry and Psychology Services,Neurology,Pulmonary Medicine,Pediatric Sleep Medicine in Minnesota,Cardiovascular Medicine,Sleep Medicine"
Generalized anxiety disorder,"worrying,anxiety,uncertainty,worry,fatigue,trouble,muscle tension,muscle ache,y,nervousness,diarrhea,ir,rita,ble,bowel syndrome,ir,ritability",Psychiatry and Psychology
Polymorphous light eruption,"bumps,b,listers,it,arm,light,arm,rash,it,ching,bumps",Dermatology
Bladder exstrophy,"kidney,backbone,spinal cord,hy,abdominal,hy,hy,rec,bladder,gen,ital,pe,ex,hy,bladder,kidney","Children's Center,Pediatric and Adolescent Medicine,Pediatric Urology"
Spinal cord injury,"te,ple,quad,legs,pelvic organs,paralysis,lower,para,paralysis,reflex activities,spasms,coughing,clearing secretions,your lungs,pain,stinging sensation,damage,nerve fibers,spinal cord,spinal,injuries,spinal,injuries,loss of movement,loss of,el,paralysis,legs,pelvic,feel,control movement,spinal","Physical Medicine and Rehabilitation,Neurology,Orthopedic Surgery,Neurosurgery,Spinal Cord Injury Rehabilitation Program,Pediatric Rehabilitation"
Hemorrhoids,,"Colon and Rectal Surgery,General Internal Medicine,Family Medicine"
Pulmonary hypertension,"lips,skin,chest,pain,di,zziness,fainting spells,pounding,fatigue,shortness of breath,d,ys,p,swelling,ed,ema,legs,belly,abdomen","Transplant Center,Heart Transplant Program,Pulmonary Medicine,Cardiovascular Medicine,Cardiovascular Surgery,Lung Transplant Program ,Extracorporeal Membrane Oxygenation (ECMO) Program,Pediatric Cardiology"
Botulism,,Neurology
Brugada syndrome,"s,palpitations,faint,dizziness,seizures,gasping",Cardiovascular Medicine
Klippel,"leak,twisted,mal,formed,abdomen,pe,lvis,mal,formed veins,k,arm","Children's Center,Orthopedic Surgery,Vascular centers,Vascular and Endovascular Surgery,Dermatology,Radiology,Pediatric and Adolescent Medicine"
Lung cancer,"shortness of breath,chest,pain,headache,hoarse,weight,pain,cough","Palliative Care in Minnesota,Pulmonary Medicine,Radiation Oncology,General Surgery,Laboratory Medicine and Pathology,Thoracic Surgery,Proton Beam Therapy Program,Oncology (Medical),Cancer Care at Mayo Clinic,Radiology,Lung Cancer Program"
Transient global amnesia,"damage,unable to move,movements,problems understanding words,awake,alert,memory loss,return of memory,head injury,ep,ilepsy,to recognize,name familiar,confusion,symptoms,seizures,amnesia",Neurology
Nonalcoholic fatty liver disease,"pain,discomfort,upper right abdomen,abdominal,swelling,as,cite,yellow,ing,skin,eyes,ja,und,ice,fatigue,enlarged,spleen,enlarged,blood vessels,beneath the skin ' s surface,liver,palms,liver,upper right,abdomen,beneath the diaphragm,upper left,liver","Transplant Center,Children's Center,Bariatric Center in Florida,Gastroenterology and Hepatology,Pediatric and Adolescent Medicine,Endocrinology"
Arteriovenous malformation,"memory loss,dementia,numbness,tingling,pain,paralysis,one part of the body,back,pain,loss,loss of consciousness,losing,of vision,loss of control of eye,swelling,optic nerve,buildup of fluid,brain,enlargement of,head,problems,failure to thrive,nausea,vomiting,language,headaches,weak muscles,di,zziness,seizures,heart failure,hall,ucinations,weakness,lower extremities,confusion,loss of coordination,ga,swollen veins,scalp","Neurology,Pediatric Neurosurgery,Vascular centers,Cardiovascular Medicine,Neurosurgery,Pediatric Surgery,Radiology,Cardiovascular Surgery,Pediatric Rehabilitation"
Lymphedema,"infections,thy,l,heaviness,tightness,leg,l,ym,ph,ma,swelling,arm,fingers,toes,hardening,thick,swelling,arm,chest,leg,l,ym,ph,edema","Physical Medicine and Rehabilitation,Plastic and Reconstructive Surgery,Vascular centers,Breast Clinic,Pediatric Rehabilitation,Breast and Melanoma Surgical Oncology"
Invasive lobular carcinoma,"dimpling,thickening,nipple,fullness,swelling,breast,thick,ening,breast","Breast and Melanoma Surgical Oncology,Oncology (Medical),Breast Clinic"
Growth plate fractures,"inability to move,area,limb,warmth,swelling,near a joint,pain","Shoulder and Elbow Surgery in Rochester,Orthopedic Surgery"
REM sleep behavior disorder,"awake,defending","Neurology,Pulmonary Medicine,Pediatric Sleep Medicine in Minnesota,Sleep Disorders Center in Florida,Sleep Disorders Center in Arizona,Sleep Medicine"
Dislocated shoulder,"pain,shoulder,ocation,inability to move,joint,shoulder,swelling,br,uising,shoulder,joint,shoulder,shoulder,ocation","Physical Medicine and Rehabilitation,Shoulder and Elbow Surgery in Rochester,Orthopedic Surgery"
Vasculitis,"fever,bleeding,under the skin,vascu,is,lumps,open,sore,fatigue,vasculitis,eyes,red,it,ch,ritis,double vision,blindness,headache,di,ringing,hearing loss,shortness of breath,cough up,va,litis,pain,ul,cers,perforations,blood,general,aches,pains,weight loss,hands,va,is,numbness,weakness,palms,hands,sole,feet","Transplant Center,Rheumatology,Vascular centers,Cardiovascular Medicine,Dermatology,Kidney Transplant Program,Cardiovascular Surgery"
Eosinophilic esophagitis,"mal,nutrition,weight loss,chest,pain,vomiting,d,ys,phagia,stuck,esop,hagus,impact,ge,abdominal,pain","Gastroenterology and Hepatology,Children's Center,Allergic Diseases,Pediatric and Adolescent Medicine"
Autonomic neuropathy,"di,zziness,fainting,full,low li,bladder,ur,slug,sweating,sweating","Physical Medicine and Rehabilitation,Neurology,Pediatric Rehabilitation"
Secondary hypertension,"high,high,high blood,high blood pressure",Nephrology and Hypertension
Diabetic nephropathy (kidney disease),"shortness of breath,nausea,vomiting,swelling,ankles,hands,or,eyes,confusion,difficulty,fatigue,itching,loss of appetite,need to","Nephrology and Hypertension,Transplant Center,General Internal Medicine,Cardiovascular Medicine,Kidney Transplant Program,Endocrinology"
Chronic cough,"heartburn,sour taste,your mouth,run,ny,stuffy,nose,throat,clearing,sore,throat,coughing up blood,hoarseness,wheezing,shortness of breath,liquid,down the back of your throat","Pulmonary Medicine,Allergic Diseases"
Sarcoidosis,,"Transplant Center,Neurology,Rheumatology,Pulmonary Medicine,Cardiovascular Medicine,Lung Transplant Program ,Ophthalmology"
Nasal polyps,"loss of sense of taste,facial,pain,headache,sense of smell,sense of pressure,forehead,face,s,noring,nosebleeds,run,ny,nose,stuffiness,pain,upper teeth","Otolaryngology (ENT)/Head and Neck Surgery,Allergic Diseases"
Juvenile idiopathic arthritis,"joint,limps,swelling,joint,swelling,joints,stiff,cl,ier,swollen,swollen,l,ym,ph nodes,rash,trunk","Physical Medicine and Rehabilitation,Shoulder and Elbow Surgery in Rochester,Rheumatology,Orthopedic Surgery,Pediatric Rehabilitation"
Pectus excavatum,"heart,palpitations,chest,pain,fatigue,respiratory infections,di,zziness,wheezing,coughing","Physical Medicine and Rehabilitation,Children's Center,Thoracic Surgery,Cardiovascular Medicine,Pediatric Surgery,Cardiovascular Surgery,Pediatric Cardiac Surgery,Pediatric and Adolescent Medicine"
Cerebral palsy,,"Physical Medicine and Rehabilitation,Neurology,Children's Center,Orthopedic Surgery,Urology,Neurosurgery,Speech Pathology,Pediatric Rehabilitation,Child and Adolescent Neurology,Pediatric and Adolescent Medicine"
Familial adenomatous polyposis,,"Colon and Rectal Surgery,Gastroenterology and Hepatology,Pediatric Surgery"
Phantom pain,"pain,symptoms,limb,foot,leg,pain",Physical Medicine and Rehabilitation
Anorexia nervosa,,"Children's Center,Psychiatry and Psychology,Pediatric and Adolescent Medicine"
Anal cancer,"bleeding,anus,rectum,anal,it,ching,pain,the,anus,mass,growth,anal canal","Radiation Oncology,Laboratory Medicine and Pathology,General Surgery,Proton Beam Therapy Program,Oncology (Medical),Radiology,Colon and Rectal Surgery,Gastroenterology and Hepatology"
Ureteral obstruction,"high blood,hyper,pain,urine,urinating blood,urinary tract,infections","Nephrology and Hypertension,Urology"
Cardiogenic shock,"shortness of breath,weak pulse,sweating,cold hands,feet,breathing loss of consciousness,low blood pressure,h,yp,ote,nsion,pale,skin,rapid,ta,chycardia","Critical Care,Extracorporeal Membrane Oxygenation (ECMO) Program,Cardiovascular Medicine,Cardiovascular Surgery"
Uterine polyps,"vaginal,bleeding,bleeding,men,fer,menstrual,bleeding,heaviness,men,ru",Obstetrics and Gynecology
Chest pain,,"Pain Rehabilitation Center,Pulmonary Medicine,Cardiovascular Medicine,Cardiovascular Surgery"
Carcinoid tumors,,"Nuclear Medicine Therapy,Pulmonary Medicine,Lung Cancer Program,General Surgery,Surgical Oncology and Endocrine Surgery in Arizona,Oncology (Medical),Radiology,Colon and Rectal Surgery,Gastroenterology and Hepatology,Hepatobiliary and Pancreas Surgery,Endocrinology"
Broken leg,"tenderness,swelling,br,uising,def,ormity,short,leg,inability to walk",Orthopedic Surgery
Chronic lymphocytic leukemia,"fever,fatigue,infections,pain,enlarged,spleen,lymph nodes,weight loss,night sweats","Transplant Center,Laboratory Medicine and Pathology,Hematology,Bone Marrow Transplant Program,CAR-T Cell Therapy Program,Oncology (Medical)"
Nicotine dependence,"withdrawal symptoms,craving,ir,difficulty concentrating,consti,pation",Pulmonary Medicine
Bone metastasis,"weakness,legs,arms,ur,inary,inc,inence,bowel,inen,broken bones,bone,pain,hyper,cal,ce,nausea,vomiting,consti,pation,confusion","Shoulder and Elbow Surgery in Rochester,Orthopedic Surgery"
Breast cancer,"breast,breast,nipple,breast,breast,lump,thick,ening,crust,fl,nipple,are,breast,red,pitt,nipple,nipple","Plastic and Reconstructive Surgery,Radiation Oncology,General Surgery,Surgical Oncology and Endocrine Surgery in Arizona,Proton Beam Therapy Program,Oncology (Medical),Cancer Care at Mayo Clinic,Breast Clinic,Breast and Melanoma Surgical Oncology,Radiology,Cancer survivorship clinics"
Tetralogy of Fallot,"skin,cy,anosis,crying,murmur,nail bed,fingers,toes,weight gain,ring,faint,irritability,shortness of breath","Pediatric Cardiology,Cardiovascular Medicine,Cardiovascular Surgery,Pediatric Cardiac Surgery"
Amyloidosis,"swelling,ankles,legs,short,ness of breath,purpura,eyes,enlarged tongue,amy,enlarged,tongue,enlarged tongue,amyloidosis,pu,rp,ura,around the,eyes,numb,pain,hands,feet,fatigue,weakness,pu,rplish patches,around the eyes,con,on,purpura,the eyes","Nephrology and Hypertension,Heart Transplant Program,Transplant Center,Pulmonary Medicine,Hematology,Cardiovascular Medicine,Liver Transplant Program,Gastroenterology and Hepatology"
Ankylosing spondylitis,"along,of the heel,breastbone,ribs,lower back,base of the spine,pelvis,hip,shoulder joints","Physical Medicine and Rehabilitation,Rheumatology"
Drug allergy,"skin,rash,fever,shortness of breath hives,runny,nose,w,heezing,swelling,watery eyes,itching",Allergic Diseases
Adrenal cancer,"hormone changes,enlarged,breast,shrinking,testicles,fever,weight gain,hair loss,head,muscle weakness,vomiting,abdominal,b,lo,ating,back,pain,stretch marks,skin,loss of weight,loss of appetite,nausea","Radiation Oncology,Laboratory Medicine and Pathology,Surgical Oncology and Endocrine Surgery in Arizona,Pediatric Surgery,Surgery,Oncology (Medical),Radiology,Endocrine Surgery,Endocrinology"
Acute liver failure,"feeling,un,well,mala,di,sorientation,confusion,vomiting breath,y,sleepiness,nausea,swollen,belly,as,cites,yellowing,skin,eye,balls,ja,und,ice,tremor,pain,upper right abdomen","Liver Transplant Program,Critical Care,Transplant Center"
Ectopic pregnancy,,Obstetrics and Gynecology
Glioma,"ur,headache,speech,blurred vision,double vision,loss,vision,seizures,nausea,personality changes,ir,ritability confusion,memory loss","Pediatric Hematology/Oncology in Minnesota,Neurology,Radiation Oncology,Pediatric Neurosurgery,Neurosurgery,Oncology (Medical),Radiology,Brain Tumor Program"
Uterine fibroids,"backache,leg,pains,pain,ru,consti,pation,menst,rual,bleeding","Surgery,Fibroid Clinic,Obstetrics and Gynecology,Radiology"
Diabetic retinopathy,"vision,vision,blurred vision,vision,vision loss",Ophthalmology
Brain AVM (arteriovenous malformation),"numbness,paralysis,headache,difficulty,vision loss,headache,pain,one area of the head,confusion,inability to understand,seizures,un,steadiness,muscle weakness,numbness,one part of the body","Neurology,Pediatric Neurosurgery,Neurosurgery,Radiology"
Sickle cell anemia,"pain,pain,pain,swelling,hands,swelling,blood cells,hands,sick,sp,an,pain,pain,pain,abdomen,emia,eyes,re,tina,of the eye","Hematology,Pediatric Hematology/Oncology in Minnesota,Bone Marrow Transplant Program,Transplant Center"
Ataxia,change in speech,"Physical Medicine and Rehabilitation,Neurology,Pediatric Rehabilitation"
ACL injury,"swelling,knee,loss of range of motion,pain,inability to continue activity,instability,giving way,weight bearing","Physical Medicine and Rehabilitation,Sports Medicine,Orthopedic Surgery"
Supraventricular tachycardia,"shortness of breath,sweating,weakness,tired,fatigue,chest,pain,faint,ing,lightheadedness,di,zziness,fluttering,pounding,chest,pounding,neck","Pediatric Cardiology,Cardiovascular Medicine,Cardiovascular Surgery,Pediatric Cardiac Surgery"
Guillain,"swallowing,un,steady walking,inability to walk,climb stairs,vision,inability to move the eyes,pain,pins and needles sensation,ankles,wrists,weakness,legs,upper body","Physical Medicine and Rehabilitation,Neurology,Spinal Cord Injury Rehabilitation Program,Pediatric Rehabilitation"
Essential tremor,"head,on,of the body,hands,affecting,one hand,both hands,caf,temperature,movement","Physical Medicine and Rehabilitation,Neurology,Neurosurgery,Radiology"
Laryngitis,"weak voice,voice loss,hoarseness,dry,tickling sensation,rawness,your,throat,sore,throat,dry throat",Otolaryngology (ENT)/Head and Neck Surgery
Pseudomembranous colitis,"fever,pus,stool,nausea,watery,dia,rrhea,dehydration,abdominal,pain,tenderness",Gastroenterology and Hepatology
Peptic ulcer,"appetite changes,weight loss feeling,stomach,pain,blood,stool,heart,burn,full,bloating,belching,trouble breathing intolerance,nausea,nausea,vomiting,vomiting,vomiting,blood",Gastroenterology and Hepatology
Polycystic ovary syndrome (PCOS),"excess,ne,baldness,men,rual","Obstetrics and Gynecology,Endocrinology"
Patellofemoral pain syndrome,,Physical Medicine and Rehabilitation
Chronic traumatic encephalopathy,,"Physical Medicine and Rehabilitation,Neurology,Psychiatry and Psychology"
Ganglion cyst,"gang,cy,tendons,wrists,ankles,cy,near other joints,gang,cy,gang,cy,cy,nerve,cy","Physical Medicine and Rehabilitation,Plastic and Reconstructive Surgery,Orthopedic Surgery"
Kidney infection,"fever,nausea,vomiting,pus,blood,back,side,groin,pain,belly,pain,burning feeling,pain,urine,chill","Transplant Center,Kidney Transplant Program"
Occupational asthma,"nasal congestion,shortness of breath,nose,airways,lungs,in,amed,membranes,airway lining,cough,w,hee,eye,irritation,tearing,coughing,chest,tightness,asthma,recur,hee","Transplant Center,Allergic Diseases"
Canker sore,,Dermatology
Hay fever,"it,chy,nose,roof of mouth,throat,tiredness,poor sleep,runny nose,nasal,stuffiness,s,neezing,cough,mucus,back of your throat,bruised -,skin,under the eyes,allergic,eyes,conjunct",Allergic Diseases
Carpal tunnel syndrome,"weakness,numbness,hand,weakness,thumb,numb,wrist,tingling,numb,tingling,numbness,thumb,sensation,electric shock","Physical Medicine and Rehabilitation,Neurology,Orthopedic Surgery,Neurosurgery,Plastic and Reconstructive Surgery"
Thumb arthritis,"swelling,stiffness,tenderness,base of your thumb,enlarged,joint,base of your thumb","Physical Medicine and Rehabilitation,Orthopedic Surgery"
Spinal stenosis,,"Physical Medicine and Rehabilitation,Neurology,Rheumatology,Orthopedic Surgery,Pain Medicine,Neurosurgery,Spine Care,Radiology"
HPV infection,"warts,gen,ital,war,plantar,warts,gen,ital,war,face,legs,male,ital,gen,ital,pubic area,anal,gen,ital,war,gen,ital,war,vulva,near the anus,r,war,war,flat,war,gen,ital,war,penis,sc,gen,ital,war,discomfort,it,gen,ital,war,gen,ital,pubic area,anal,female,ital,war,war",Obstetrics and Gynecology
End,"swelling,feet,ankles,vomiting,itching,chest,fluid,up,lining of the heart,fluid,up,lungs,mental sharpness,fatigue,weakness,loss of appetite,high blood pressure,hyper,headache,taste,nausea,ur,muscle twitches,cramps","Nephrology and Hypertension,Transplant Center,General Internal Medicine,Cardiovascular Medicine,Endocrinology"
Male breast cancer,"lump,thick,ening,breast,nipple,red,nipple","Breast and Melanoma Surgical Oncology,Radiation Oncology,Oncology (Medical),Breast Clinic"
Cryoglobulinemia,"joint,symptoms,rheumatoid arthritis,cry,buline,cryoglobulinemia,damage,nerves,tips of,fingers,numbness,skin,cryoglobulinemia,skin,lesions,legs,leg,ul,cer","Nephrology and Hypertension,Hematology,Rheumatology"
Liposarcoma,"pain,weakness,limb,lump of,tissue,under your skin,swelling,abdominal,swelling,abdominal,pain,consti,pation,blood","Radiation Oncology,General Surgery,Oncology (Medical),Cancer Care at Mayo Clinic,Hepatobiliary and Pancreas Surgery"
Conjoined twins,,"Children's Center,Obstetrics and Gynecology,Fetal and maternal care in Minnesota,Pediatric Surgery,Pediatric and Adolescent Medicine"
Dementia,,"Physical Medicine and Rehabilitation,Neurology,Psychiatry and Psychology"
Aortic valve stenosis,"irregular heart sound,increased activity,shortness of,faint,dizzy,faint,chest,pain,tightness,c","Transplant Center,Cardiovascular Medicine,Cardiovascular Surgery,Pediatric Cardiac Surgery,Pediatric Cardiology"
Liver hemangioma,"vomiting,liver,pain,upper right abdomen,liver,upper right,abdomen,beneath the diaphragm,upper left,full,liver,nausea",Hepatobiliary and Pancreas Surgery
Ureteral cancer,"fatigue,pain,back,pain,blood","Urology,Oncology (Medical),Cancer Care at Mayo Clinic"
Celiac disease,"nausea,vomiting,numbness,tingling,feet,hands,cognitive,impairment,fatigue,mouth,ulcer,iron deficiency,sp,headache,fatigue,joint,pain,ery,skin,rash,der,itis,herpetiformis,dia,rrhea,abdominal,pain,sti,pation,weight loss loss,os,te,op,orosis,softening,os,te,oma",Gastroenterology and Hepatology
Broken hand,"stiffness,inability to move,fingers,thumb,tenderness,swelling,crooked,pain,numbness,hand,fingers",Physical Medicine and Rehabilitation
Iron deficiency anemia,"iron deficiency,an,emia,chest,shortness of breath,cold,hands,feet,fatigue,pale,skin,di,zziness,lightheadedness,star,brittle nails,weakness,inflammation,soreness,your,tongue","Gastroenterology and Hepatology,Hematology"
Retinal detachment,"specks,field of vision,blurred vision,shadow,field of vision,flashes of light,one or both eyes,vision",Ophthalmology
Rheumatic fever,"fever,tender,joints,knees,ankles,elbows,wrists,chest,pain,fatigue,rash,tro,hands,feet,face,heart,murmur,swollen,joints,pain,one joint,another joint,bumps,beneath the skin","Cardiovascular Medicine,Cardiovascular Surgery,Pediatric Cardiology"
Osteoarthritis,"swelling,inflammation,os,os,hip,stiff,joint,stiff,spine,hip,hip,hip,deterioration,ila,pain,joints,hurt,spine,joint,tender","Physical Medicine and Rehabilitation,Rheumatology,Shoulder and Elbow Surgery in Rochester,Orthopedic Surgery"
Delirium,,"Physical Medicine and Rehabilitation,Neurology,Psychiatry and Psychology,General Internal Medicine"
Indigestion,"full,full,full,full,discomfort,pain,breastbone,belly,burning,bottom,breastbone,belly,b,lo,ating,tightness","Children's Center,Family Medicine,General Pediatric and Adolescent Medicine,Gastroenterology and Hepatology,Pediatric and Adolescent Medicine"
Antiphospholipid syndrome,"blood clots,legs,d,v,d,v,pain,swelling,red,lungs,pulmonary,antiph,ospholipid syndrome,is,chemic attack,tia,rash,stroke,anti,pid syndrome,headache,mig,dementia,seizures,clot,nose,gum,bleeding,skin,miscarriage,high","Neurology,Hematology,Rheumatology,Vascular centers"
Aplastic anemia,"fatigue,shortness of breath,pale,infections,br,nosebleeds,bleeding gum,s,bleeding,cuts,skin,rash,di,zziness,headache,fever","Hematology,Bone Marrow Transplant Program,Transplant Center"
Chronic myelogenous leukemia,"fever,pain,fullness,below the ribs,side,run - down,tired,loss of appetite,bone,pain,weight loss,full,sweating,night sweat","Transplant Center,Laboratory Medicine and Pathology,Hematology,Bone Marrow Transplant Program,Oncology (Medical),Cancer Care at Mayo Clinic"
Stroke,"slur,paralysis,numb,numb,weakness,paralysis,droop,stumble,lose,balance,di,zziness,loss of coordination,problems,blurred,blackened vision,di,zziness","Physical Medicine and Rehabilitation,Neurology,Critical Care,Vascular centers,Cardiovascular Medicine,Neurosurgery,Vascular and Endovascular Surgery,Emergency Medicine,Radiology,Pediatric Rehabilitation"
Reactive arthritis,"inflammation,arthritis,skin,mouth,sore,rash,soles of,feet,palms,low,back,pain,ur,discomfort,inflammation,prostate,ce,inflammation,inflammation,swollen,toes,fingers,swollen,pain,stiff,joint,pain,reactive,arthritis,knees,ankles,feet,pain,low,back,butt,inflammation,tendons,ligaments,bone,heels,sole,the,feet,eye,arthritis,eye,inflammation",Physical Medicine and Rehabilitation
Inflammatory breast cancer,"breast,he,aviness,en,lar,gement,one,breast,dimpling,ridges,skin,enlarged,l,ym,nodes,above the collarbone,below the collarbone,flat,ten,nipple,pain,breast,bruised","Radiation Oncology,Oncology (Medical),Cancer Care at Mayo Clinic,Breast Clinic,Breast and Melanoma Surgical Oncology"
Vulvodynia,"rawness,vulva,intercourse,soreness,vu,lva,labia major,labia minora,clit,vu,lva","Physical Medicine and Rehabilitation,Obstetrics and Gynecology"
Down syndrome,"face,height,protruding tongue,ears,head,eye lids,palpe,short fingers,small hands,short hands,spots,colored part ( iris ) of the eye,brushfield ' s spots",Pediatric Rehabilitation
Rickets,"delayed,muscle weakness,breast,bone,projection,bowed legs,knock knees,delayed growth,thick,ened,wrists,ankles,pain,pe,lvis,legs",Orthopedic Surgery
Waldenstrom macroglobulinemia,"fever,shortness of breath,bleeding,nose,gums,changes in vision,fatigue,headache,numbness,hands,feet,confusion,weight loss","Transplant Center,Hematology,Bone Marrow Transplant Program,Oncology (Medical),Cancer Care at Mayo Clinic"
Coarctation of the aorta,"leg,cramps,cold feet,chest,pain,muscle,weakness,nosebleeds,pale skin,difficulty breathing,sweating,headache,irritability,high blood pressure difficulty","Pediatric Cardiology,Cardiovascular Medicine,Cardiovascular Surgery,Pediatric Cardiac Surgery"
Broken heart syndrome,"shortness of breath,chest",Cardiovascular Medicine
Color blindness,,Ophthalmology
Fibromuscular dysplasia,"di,zziness,headache,neck,pain,ischemic attack,(,tia,pu,ating,ringing in your ears","Nephrology and Hypertension,Vascular centers,Cardiovascular Medicine,Cardiovascular Surgery"
Vascular dementia,"memory depression,apathy,confusion,un,steady gait,restlessness,agitation,slowed thinking,urge to urinate,inability to control passing urine,ability to organize thoughts or actions",Neurology
Nonallergic rhinitis,"cough,cus,throat,s,nee,zing,stuffy,runny,nose","Otolaryngology (ENT)/Head and Neck Surgery,Allergic Diseases"
Childhood apraxia of speech,,"Speech Pathology,Neurology,Children's Center,Pediatric and Adolescent Medicine"
Uveitis,"eye,pain,pan,uveitis,front,eye,light sensitivity,uv,eit,is,eye,re,blurred vision,decreased vision,eye,redness,uveitis,re,blood,the lens,par,center,eye,eye,uv,the,white of the eye,ci,sclera,uveitis,the front of your eye,iritis,uv,eye,uvea",Ophthalmology
Coronary artery disease,"chest,pain,pressure,tight,chest,pain,pain,pain,corona,chest,pain,shoulder,short,neck,jaw,nausea,heart,short","Transplant Center,Cardiovascular Medicine,Cardiovascular Surgery,Pediatric Cardiology"
Nephrogenic systemic fibrosis,"skin,phragm,gastrointestinal tract,liver,b,list,ers,ulcers,muscle,weakness,plaques,white surface,sc,eyes,hip,bones,ribs,skin,thick,loss,joint,flexibility,swelling,tightening,skin,joint motion,muscle tightening,contractures,hands,legs,feet,skin,it,ching,pains,involvement,thick,arms,legs,the,face,head","Nephrology and Hypertension,Dermatology"
Ameloblastoma,,"Otolaryngology (ENT)/Head and Neck Surgery,Radiation Oncology,Oral and Maxillofacial Surgery,General Surgery,Head and Neck Cancer Center,Plastic and Reconstructive Surgery"
Diarrhea,"fever,vomiting,stool,nausea,abdominal,cr,amps,pain,blood,stool",Gastroenterology and Hepatology
Wet macular degeneration,"of,faces,blurriness of,blurry spot,spot,field of vision,straight,bent,central vision,one or both eyes",Ophthalmology
Heart valve disease,"chest,pain,fatigue,swelling,ankles,feet,abdominal,swelling,di,zziness,short,whooshing sound,heart","Cardiovascular Medicine,Cardiovascular Surgery,Pediatric Cardiology"
Pericarditis,"fever,st,pericarditis,swelling,belly,left,shoulder,neck,fatigue,weakness,sick,cough,shortness of breath,breath,perica,rditis,perica,rditis,per,ica,rditis,pain,pounding,leg,swelling,per,ica,rditis,per,ica,rditis,symptoms","Cardiovascular Medicine,Cardiovascular Surgery"
Epilepsy,"symptoms,fear,anxiety,deja vu,loss of consciousness,awareness,con,trollable,jerking movements,arms,legs,confusion,stiff muscles,staring spell","Neurology,Children's Center,Pediatric Neurosurgery,Epilepsy,Neurosurgery,Radiology,Psychiatry and Psychology,Pediatric and Adolescent Medicine"
Influenza (flu),"fever,eye,pain,shortness of breath,run,ny,stuffy,nose,chills,sweats,headache,tiredness,weakness,vomiting,dia,flu,flu,all,all,sore,aching,muscles,cough","Critical Care,Cardiovascular Surgery,Hospital Internal Medicine,Infectious Diseases,Extracorporeal Membrane Oxygenation (ECMO) Program"
Iritis,"eye,redness,discomfort,ac,hiness,eye",Ophthalmology
Migraine,"pain,pain,th,nausea,vomiting","Neurology,Pain Rehabilitation Center"
Stye (sty),"eyelid,swelling,eyelid,pain,tearing,lump,your,eyelid,boil",Ophthalmology
Tinnitus,,"Physical Medicine and Rehabilitation,Audiology"
Jet lag disorder,"disturbed sleep,sleepiness,fatigue,stomach,constipation,diarrhea,mood changes,not being well","Pediatric Sleep Medicine in Minnesota,Sleep Medicine"
Female sexual dysfunction,"orgasm,orgasm,dysfunction,interest,pain,arousal,aroused,arousal","Physical Medicine and Rehabilitation,Obstetrics and Gynecology"
Vulvar cancer,"bumps,sore,ul,pain,tenderness,color changes,thick,ening,itching","Radiation Oncology,Obstetrics and Gynecology,Proton Beam Therapy Program,Oncology (Medical),Cancer Care at Mayo Clinic,Women's Health"
Chronic fatigue syndrome,"fatigue,sleep,exhaustion,di,zziness,standing,problems,memory,concentration,xpl,d,muscle,joint,pain,enlarged,l,ymph nodes,neck,armpit,headache,sore,throat",General Internal Medicine
Familial hypercholesterolemia,"tend,cho,terol,achilles,tendons,corn,ring,iris,choles,terol deposits,elbows,skin",Cardiovascular Medicine
Acne,"acne,acne,ac,skin,up,hair,ru,pt,ure,skin,pa,pus,lump,under the,skin,lump,under the skin,lesions,ac","Cosmetic Center in Arizona,Dermatology"
Pulmonary embolism,"chest,pain,take a deep,cough,bend,short,sy,leg,pain,calf,th,rom,bos,lightheadedness,di,zziness,cl,am,my,disco,lore,d skin","Pulmonary Medicine,Critical Care,Cardiovascular Medicine,Cardiovascular Surgery,Radiology,Extracorporeal Membrane Oxygenation (ECMO) Program"
Henoch,"rash,spots,bruises,butt,legs,feet,rash,arms,face,trunk,sock,waist,sore,joints,purpura,pain,swelling,joints,knees,ankles,joint,pain,rash,kidney,rpura,kidney,digest,purpura,belly,pain,nausea,vomiting,bloody stool,symptoms,rash",Rheumatology
Metabolic syndrome,,"Bariatric Center in Florida,Cardiovascular Medicine,Cardiovascular Surgery"
Brain metastases,"seizures,vomiting,nausea,weakness,numbness,of the body,memory problems","Physical Medicine and Rehabilitation,Neurology,Radiation Oncology,Neurosurgery,Oncology (Medical),Radiology,Brain Tumor Program"
